# DDD Analysis Dataset Generated: 2025-10-06 21:21:27
# AOI Center: 45.464200, 9.191400
# AOI Radius: 1500 meters
# Buffer Distance: 1000 meters
# Total Features: 926
# Source PBF: nord-ovest-latest.osm.pbf
#
# Column descriptions:
# - osm_id: OpenStreetMap element ID
# - name: Name of the facility (if available)
# - kind: Category (supermarket, poi, or control)
# - subcategory: Specific OSM tag value (supermarket, bakery, butcher, etc.)
# - source: OSM element type (node or area)
# - zone: Whether in AOI or buffer zone
# - lat, lon: Coordinates in WGS84
# - timestamp: OSM creation timestamp (proxy for opening date)
# - distance_to_duomo_m: Distance to Duomo di Milano in meters
#
# Treatment POI Categories: bakery, greengrocer, butcher, convenience
# Supermarket Category: supermarket
# Control Categories (AOI only): funeral_directors, hairdresser, restaurant
#
osm_id,name,kind,subcategory,source,zone,lat,lon,timestamp,distance_to_duomo_m
1675597913,Esselunga,supermarket,supermarket,node,aoi,45.4626698,9.2102123,2025-05-22 14:34:55,1481.9537566775796
1697843131,Panificio silini,poi,bakery,node,aoi,45.4676381,9.1765622,2025-07-15 09:44:59,1219.5586142632815
1697898039,Cantina Carducci,control,restaurant,node,aoi,45.4665023,9.1762594,2024-12-05 23:11:12,1209.3794065056845
1699888976,Pam,supermarket,supermarket,node,aoi,45.4612313,9.1729862,2024-02-08 23:14:14,1475.83993787064
1726657153,Bioesseri,control,restaurant,node,aoi,45.4728989,9.1885139,2025-08-31 12:51:19,990.912539710257
1726657261,New Art ristorante e pizzeria,control,restaurant,node,aoi,45.4725183,9.187425,2019-09-13 14:34:23,973.3955659347105
1726657267,Ponte di Brera,control,restaurant,node,aoi,45.4726094,9.1875402,2024-03-24 17:53:20,980.1996449229973
1726715775,Il Coriandolo,control,restaurant,node,aoi,45.4691,9.188079,2012-04-22 15:56:39,601.4355071855872
1726715796,Princi,poi,bakery,node,aoi,45.4693026,9.1854365,2025-07-30 16:12:58,732.1626298178178
1726715799,Salsamenteria di Parma,control,restaurant,node,aoi,45.469671,9.1849794,2025-09-10 06:46:24,786.4708554301428
1735143509,Profumo di Pane,poi,bakery,node,buffer,45.4469256,9.1793376,2025-02-15 15:19:44,2138.864831111911
1742819708,Milanese Cafè,control,restaurant,node,aoi,45.4728804,9.1948803,2025-07-15 09:37:33,1001.1909080266608
1828890765,Luini,poi,bakery,node,aoi,45.465785,9.1915481,2024-04-09 12:03:23,175.3419013464809
1829745656,Foyer,control,restaurant,node,aoi,45.4671528,9.1891788,2025-09-17 06:55:26,369.466679278418
1833591402,Le Biciclette,control,restaurant,node,aoi,45.4578389,9.177196,2024-03-06 17:01:12,1315.8144060058
1855712462,Pizzeria Di Gennaro,control,restaurant,node,aoi,45.4657135,9.1916606,2022-11-03 15:00:19,168.32759975137128
1855779345,A'Riccione Terrazza 12,control,restaurant,node,aoi,45.4656291,9.1983557,2024-08-19 12:20:15,567.4053371518723
1855779430,Panino Giusto,control,restaurant,node,aoi,45.4659512,9.1988089,2025-07-21 09:03:05,611.8680076598602
1887859158,Manfredi,control,restaurant,node,aoi,45.4560484,9.1814226,2024-05-15 19:50:07,1195.3102538258213
1901845019,Bottega Ghiotta,control,restaurant,node,aoi,45.4625833,9.1895213,2023-11-07 09:55:35,232.12729413336675
1901845020,Osteria La Carbonella,control,restaurant,node,aoi,45.4655341,9.1763139,2023-02-18 00:49:00,1187.1706259561602
1901845027,Crocetta,control,restaurant,node,aoi,45.4620072,9.1905281,2016-05-06 16:19:22,253.79310753501585
1915922181,U2,supermarket,supermarket,node,aoi,45.4671084,9.2065798,2021-11-06 17:29:48,1230.8387505753722
1922372813,Princi,poi,bakery,node,aoi,45.462971,9.1879527,2025-08-25 15:42:12,301.4861191438136
2016327997,Al Mercato,control,restaurant,node,aoi,45.4574535,9.1892931,2025-07-29 14:00:05,768.3100355130472
2050577608,Osteria Nanin,control,restaurant,node,aoi,45.4651397,9.2070545,2023-04-15 15:23:27,1229.4700170801004
2075241332,Le Scimmiette,control,restaurant,node,aoi,45.459616,9.1824612,2012-12-19 21:08:31,864.35521982736
2084192141,La Gavetta,control,restaurant,node,aoi,45.4629928,9.204954,2017-05-21 20:36:32,1069.5421427022898
2093165819,Carrefour Express,poi,convenience,node,buffer,45.4824446,9.1819008,2023-03-17 16:22:40,2157.0279652445943
2116368578,Carrefour,supermarket,supermarket,node,buffer,45.4706697,9.2126415,2021-01-02 14:47:46,1810.1140562103858
